scenario,strategy,benchmark,metric,value_a,value_b,diff,ci_low,ci_high,p_value,significant
vol_mismatch,ppo,delta,var_95,-5.572319890580965,-4.4970057935508105,-1.0753140970301542,-1.5308480097745711,-0.6023109039765816,0.0002,True
vol_mismatch,ppo,delta,cvar_95,-6.592621283034482,-5.6853038680967805,-0.9073174149377019,-1.338582168780837,-0.4957412474775865,0.0,True
vol_mismatch,ppo,delta,max_loss,-10.172936166601133,-9.82891617025983,-0.3440199963413022,-1.9783920122476442,0.13848011827596451,0.1658,False
vol_mismatch,ppo,delta,pct_loss,0.7955555555555556,0.8444444444444444,-0.04888888888888887,-0.0822222222222222,-0.015555555555555545,0.0044,True
vol_mismatch,sac,delta,mean_pnl,-1.8305861944195159,-1.6381089653193541,-0.19247722910016174,-0.41524150266685905,0.02638198955556052,0.0844,False
vol_mismatch,sac,delta,std_pnl,2.829696236478992,1.6415024132628613,1.1881938232161309,0.9514222089190092,1.431340695992181,0.0,True
vol_mismatch,sac,delta,sharpe,-0.6469196837528134,-0.9979327182731569,0.3510130345203435,0.24601935066000513,0.4613431486576524,0.0,True
vol_mismatch,sac,delta,var_95,-7.1710802212449245,-4.4970057935508105,-2.674074427694114,-3.3451578377454783,-1.95112603525351,0.0,True
vol_mismatch,sac,delta,cvar_95,-8.75356652109161,-5.6853038680967805,-3.0682626529948296,-4.1258393339627455,-2.0537630328421126,0.0,True
vol_mismatch,sac,delta,max_loss,-13.126627996756866,-9.82891617025983,-3.2977118264970358,-6.698885573717689,0.2527946349665342,0.0648,False
vol_mismatch,sac,delta,pct_loss,0.7377777777777778,0.8444444444444444,-0.10666666666666669,-0.15333333333333332,-0.06000000000000005,0.0,True
regime_switch,no_hedge,delta,mean_pnl,-1.243952129432267,-1.038472348345431,-0.20547978108683607,-0.7662459304217752,0.32623242012421044,0.4586,False
regime_switch,no_hedge,delta,std_pnl,5.812370933576971,1.7237009655216788,4.088669968055292,3.426435905535347,4.74741635884464,0.0,True
regime_switch,no_hedge,delta,sharpe,-0.21401802184478458,-0.6024666511868761,0.38844862934209157,0.2894844424102572,0.49476273970030227,0.0,True
regime_switch,no_hedge,delta,var_95,-12.952025854184237,-4.271975635857983,-8.680050218326254,-10.431477406305673,-6.864823782140716,0.0,True
